cvid,HT,FT,YLD
CV1,0.47218837062733005,0.7674113170688909,0.537567484070509
CV2,0.459576735482969,0.771721406092226,0.5564328528522
CV3,0.480487659531139,0.7803657597370529,0.539917875924492
CV4,0.502932569315138,0.789319816957251,0.549393623547188
CV5,0.48716275030883605,0.7719725290353321,0.533264333393974
CV6,0.45286229178624704,0.73466843113323,0.549788291963799
CV7,0.450110599005963,0.7425205373787209,0.54177326239221
CV8,0.45391451795907795,0.7741187163407891,0.550752997164677
CV9,0.43782228167227605,0.7758972391372692,0.528127535984627
CV10,0.47357683452234,0.7728412240509509,0.5295266323629539
CV11,0.498109193030771,0.729033285507256,0.5403644532936861
CV12,0.457391973659799,0.7862149837208959,0.533168248222869
CV13,0.44133966282935405,0.738702158322532,0.5385998259114829
CV14,0.48385791513453297,0.7814360493916841,0.538270174483885
CV15,0.48292730000774303,0.7664272201786959,0.566253430223834
CV16,0.457865799165343,0.7826229772659521,0.540354617622495
CV17,0.46927857861789396,0.769495739654612,0.519365299291526
CV18,0.453283190910603,0.7216467276143509,0.5524044518519681
CV19,0.486951538144685,0.777921620116686,0.556907106503286
CV20,0.503436095855201,0.776939827347307,0.555684311174247
CV21,0.4408000602438329,0.788299822371621,0.508202034970459
CV22,0.431198955397769,0.7265451467525921,0.5247498646991661
CV23,0.460525157863276,0.7772098107444051,0.558352257768783
CV24,0.4524697076116479,0.7680516702002191,0.508997490994896
CV25,0.47437146726458296,0.7827528531393929,0.5764925912797839
CV26,0.458351573691378,0.7834405568798292,0.544027889700661
CV27,0.46704007539090603,0.7754823040452571,0.566323137067594
CV28,0.44309465306598106,0.773309167038177,0.5469530087229679
CV29,0.5040255565194639,0.723171027745436,0.531127141972052
CV30,0.45266280423148997,0.775565925093243,0.5113600638910301
CV31,0.447224024295021,0.730170764440521,0.5146861469429
CV32,0.463436731674361,0.7820108539644491,0.553741374904439
CV33,0.473561580120256,0.780558709199111,0.533750720263194
CV34,0.48800081747227403,0.769934946618804,0.563542562472102
CV35,0.444997218511324,0.7556908454307859,0.527251736981481
CV36,0.5030803104156459,0.7631715853630191,0.549334342640286
CV37,0.445120846418695,0.775381984693812,0.514697289228639
CV38,0.46927168278364395,0.7930101058780641,0.5412719873123251
CV39,0.43652642144219206,0.702346169613182,0.530658189189979
CV40,0.423017634829918,0.786064801388222,0.522292288045741
CV41,0.483110781670399,0.7951455090641629,0.57067430709574
CV42,0.463505749714764,0.72407406991805,0.5204116052675151
CV43,0.458326947981875,0.779428788382506,0.562184642066706
CV44,0.465034674582624,0.7689501235350351,0.529695915663303
CV45,0.43990544827937605,0.763398861486642,0.532397112912909
CV46,0.494577849337281,0.7818835322866909,0.551062548685366
CV47,0.497208053122563,0.7883574609119129,0.559901179623107
CV48,0.48182982422179604,0.765570388201474,0.5432911485433151
CV49,0.48881937566176,0.783599679897283,0.549772585653131
CV50,0.440785478651932,0.78391131722682,0.548273140319249
CV51,0.476828921704334,0.743098729987605,0.540082215894758
CV52,0.45447418544183,0.704552695799393,0.525710422216223
CV53,0.44099933581212997,0.7762982077201178,0.54212861820716
CV54,0.43902830533554293,0.7582826672723759,0.527191988961554
CV55,0.473325567268965,0.773679266516055,0.52894725713368
CV56,0.450401728753312,0.7786052681055899,0.553334307734223
CV57,0.45462571640623706,0.76986425264117,0.537613715729864
CV58,0.447957961698905,0.783949943987913,0.5291322033522221
CV59,0.45491028395371896,0.742476791667891,0.523620705096659
CV60,0.457059737774146,0.7351060854057281,0.545310191334852
CV61,0.48308082621861,0.781678086543015,0.5387916790661931
CV62,0.471100525006989,0.767839249534849,0.539214193122262
CV63,0.475835117887301,0.7792101842836501,0.543111927848506
CV64,0.42888372908497496,0.7705249877410291,0.530986164516969
CV65,0.47386342674386206,0.786896607830698,0.528216800086742
CV66,0.481830996819634,0.799463185952936,0.541658576842269
CV67,0.44517584545884004,0.737699052622509,0.547261228603041
CV68,0.47452337527456,0.7872273902343342,0.5638503960042729
CV69,0.477488098662507,0.785265949698876,0.547730938069869
CV70,0.471955594079812,0.774914479209995,0.546030526074046
CV71,0.438285221438521,0.789648269457362,0.572729583321232
CV72,0.46508310503803707,0.789942249027755,0.534009583603227
CV73,0.457280513097632,0.7662303928343409,0.546638561781538
CV74,0.42853013744953794,0.7251046954883941,0.5249083027410779
CV75,0.43714589918346897,0.7408506567562511,0.5394924237134171
CV76,0.424160810663181,0.7846688408536708,0.5168513047263329
CV77,0.485804997521564,0.7786075063851251,0.557336263991292
CV78,0.476443413495579,0.7806439767071658,0.548355614221099
CV79,0.43494546653153005,0.725790286223062,0.5572735444001441
CV80,0.45620144695883796,0.789003511867398,0.5677236891842579
CV81,0.489701009041624,0.799877956511183,0.5644358755983709
CV82,0.48102326211867297,0.7067101390159839,0.530704988583503
CV83,0.446181991793871,0.714274811295173,0.53782424524384
CV84,0.457386053015944,0.7763544814199559,0.555280852338814
CV85,0.429446640506474,0.762564763340614,0.540904558745432
CV86,0.46296896269288107,0.716590602333152,0.558109078307452
CV87,0.43721979211939604,0.7686008606172701,0.525006678404012
CV88,0.45818631680400795,0.785009956810682,0.544234594944751
CV89,0.473927648238336,0.773102842443793,0.5523762348296261
CV90,0.45288743635388107,0.7258470886888599,0.546699159777103
CV91,0.452672214577239,0.7681094713692491,0.522612167274717
CV92,0.42528994640306705,0.714059928030592,0.528253102215886
