cvid,HT,FT,YLD
cv0,0.39635930456262763,0.7182717543185587,0.5056725343989857
cv1,0.4298399578292681,0.6917457850209731,0.5135670977696969
cv2,0.4196608328245235,0.7059799309734985,0.4840216055296825
cv3,0.4134558827609539,0.7028192250741668,0.532076470724468
cv4,0.4196854327084715,0.7190956566949971,0.5015310211267222
cv5,0.3499314900369764,0.6969073722085987,0.5253738936252634
cv6,0.3866662843708733,0.6749233843112551,0.4796378715299512
cv7,0.36623327266244987,0.7163724055232723,0.5184219245426704
cv8,0.3958171217921346,0.719371289048045,0.4841573823106848
cv9,0.4127575268384893,0.7300094088870506,0.514056937497815
cv10,0.42556750468935134,0.6611738627518465,0.4958062601449102
cv11,0.38244655636291125,0.7200721173878293,0.49472473799327404
cv12,0.4054298143541552,0.6707685572243836,0.47882240213115335
cv13,0.3905884929893024,0.7183515896758366,0.5082762649882646
cv14,0.4034325531046733,0.699855318351129,0.5403211647293202
cv15,0.4123163769563819,0.7305576379345828,0.513672557227472
cv16,0.4236115792875399,0.707960000431301,0.4784632456017538
cv17,0.39921076326972804,0.6577191812577864,0.4801813924033932
cv18,0.4140426250813431,0.7102647420063306,0.5208755678598476
cv19,0.4561286021696894,0.7148558618083009,0.5066080514066335
cv20,0.42047730490685653,0.6964779105349279,0.4879835621760195
cv21,0.37985442572032724,0.6772490897577933,0.4849062546919865
cv22,0.38974196753385554,0.729639829388573,0.5115357423156752
cv23,0.37503359846175666,0.7097256310387905,0.4766777401498574
cv24,0.39751826354908537,0.740615810828159,0.5613066710621545
cv25,0.46649998592810843,0.7131251221984692,0.5261395692482228
cv26,0.4616842238296119,0.7193024221353224,0.5045373578965969
cv27,0.4111689979954682,0.7218822930761375,0.5123930172855359
cv28,0.4498981615125682,0.6768809205395534,0.47636237146834937
cv29,0.3931098256504685,0.739141692209544,0.49502506553539033
cv30,0.4037800163120536,0.6876233738307962,0.47742628035705836
cv31,0.3755931318277125,0.7321791415479747,0.5094753210447317
cv32,0.3908484041363488,0.7442891991946528,0.47472816292079345
cv33,0.43713395929692284,0.717031916214918,0.5449558234727233
cv34,0.4108278270767672,0.7012690939178032,0.5085780103383432
cv35,0.47857466352411243,0.70068697712192,0.5004305024154821
cv36,0.3908063293298967,0.7089477638177858,0.47248705102122524
cv37,0.40758354272200875,0.7321591111535908,0.48844682503579967
cv38,0.3906988020495693,0.657214892609209,0.5109988050723302
cv39,0.3871034280520294,0.7204257021475046,0.4849716859471626
cv40,0.4484990884275762,0.741778044850571,0.573841573600579
cv41,0.40360171302748,0.6570247822065519,0.4999362638655869
cv42,0.429154570010054,0.7235499780972868,0.5008795338061509
cv43,0.3904319005855049,0.7124381101214567,0.49551795037984414
cv44,0.3459072082377281,0.7216239538377749,0.4839466789264102
cv45,0.43293285630859,0.7321481409776139,0.5082412791486195
cv46,0.4369423497034083,0.7345522155293981,0.505979265667017
cv47,0.42751848043803864,0.6957408118976259,0.5220162119688153
cv48,0.4374347434666105,0.7405362208906474,0.4956849925840666
cv49,0.39713729457253655,0.7357473534894925,0.5211933910479136
cv50,0.40087531137867816,0.6845631603222093,0.49055301884295
cv51,0.35450085559941524,0.6639029637452097,0.4641552056423396
cv52,0.38144597680500114,0.7579669327254512,0.48993695116564473
cv53,0.3996485812319056,0.7239884195725754,0.473658877415957
cv54,0.4115238627706839,0.7180367893838594,0.5044210401612376
cv55,0.35967766396816603,0.7313141944544004,0.51637013785869
cv56,0.3942505187602299,0.6974611460940706,0.5038635887109204
cv57,0.3948062103058021,0.7261821165131496,0.4894665453605841
cv58,0.4029687482101429,0.6806635091904296,0.5180093519779954
cv59,0.36135013120503057,0.6955788588231377,0.5300627114107348
cv60,0.4292243715355582,0.7339234151977638,0.5019029127463738
cv61,0.4291150949758197,0.6788498813635494,0.5052420101826742
cv62,0.4104914753298252,0.7119365952419605,0.5266075784060001
cv63,0.40117825852315425,0.7247924868873843,0.478994219847465
cv64,0.38233993102324815,0.7252225453121481,0.5084046600834358
cv65,0.3955226265133021,0.7350384938010766,0.506102855918795
cv66,0.37372902259604335,0.677570845596198,0.46667973500709864
cv67,0.4063298105599332,0.721347379667262,0.5248404458183428
cv68,0.41779606905453315,0.7222215617570775,0.5283462499480537
cv69,0.4030506595405841,0.722586812722937,0.5048984338800984
cv70,0.4140841399912631,0.7382155469440245,0.5414226530850467
cv71,0.41268671914637717,0.7327266652275071,0.4935220909235597
cv72,0.40478884549323213,0.7356388167966678,0.4974112368609269
cv73,0.3718990420237722,0.6882943511811759,0.4986758041254126
cv74,0.3914204280282217,0.6808578395124668,0.48513548176431553
cv75,0.395883605335624,0.7165674363876315,0.5120442772056851
cv76,0.4321229982016577,0.7287285815259272,0.5203871277388239
cv77,0.4240396688367258,0.7138893592435883,0.5230120320214884
cv78,0.37608083401285314,0.6593251161889576,0.5122921015761122
cv79,0.4184214621873263,0.74370673216456,0.5358273638393725
cv80,0.42308239978090656,0.7427139127857196,0.5381508030011253
cv81,0.3810165892624652,0.6752148426181771,0.47743649804472843
cv82,0.3966911632634352,0.6635642238572543,0.461930359107048
cv83,0.4144916502988446,0.7050871616884278,0.5080464518927494
