Phe,Random_ID,10KB-mean,10KB-std,50KB-mean,50KB-std,100KB-mean,100KB-std,500KB-mean,500KB-std,1000KB-mean,1000KB-std,2000KB-mean,2000KB-std
HT,random_0,0.392730322544529,0.028946417797339,0.403225956689232,0.026656755953907,0.395513184905662,0.025980477484153,0.402273934263215,0.023911123862029,0.3716499966043,0.030722788786688,0.333620553876866,0.027713684626688
HT,random_1,0.390129447461595,0.027508252343778,0.396545184971963,0.02641439547962,0.399797106951618,0.027295081650037,0.402599915886088,0.028611197316686,0.365950151638138,0.030188545053672,0.336732890652554,0.032058359315373
HT,random_2,0.394920986339873,0.029213259437905,0.387777463749397,0.02979684124688,0.39365597732151,0.027264231969227,0.391494865404633,0.030388465690626,0.382659184794496,0.031958475486683,0.418637577352233,0.031551786353212
HT,random_3,0.409871172412592,0.025705844475467,0.388678212562209,0.025592070513943,0.393371453815172,0.02821388438934,0.354213774987222,0.028755692770236,0.359834035079669,0.029188558919668,0.370174140881863,0.03155460406243
HT,random_4,0.389819090511576,0.024745127739105,0.39730404317776,0.027673636482434,0.396898303711624,0.024212012579143,0.406065657017984,0.028681674836186,0.410718115175596,0.026087018764118,0.363677387028854,0.028963392976771
HT,random_5,0.392320861781819,0.02759996079839,0.400880546446224,0.026406459327618,0.389914149933063,0.026065399573988,0.355495410717989,0.027790469907164,0.349522135880795,0.027208821795794,0.346721765884857,0.029758050405779
HT,random_6,0.406841675374833,0.02818207110811,0.383702056611205,0.026069453818418,0.349893208710152,0.028568304482424,0.377941884837146,0.027424634202076,0.357455066930011,0.030516121768921,0.357544960888065,0.030031450451242
HT,random_7,0.379983014404447,0.030556222986603,0.386961773299584,0.02360451889564,0.376503793595005,0.025727282788746,0.36349757128956,0.029276928237668,0.365050453355213,0.02576085528041,0.365132385748713,0.030962609778899
HT,random_8,0.382236232525671,0.028031823814579,0.406750998494714,0.025444385705303,0.38728356621114,0.029575685901678,0.406664238434857,0.027457764883761,0.422010774646891,0.027460531305483,0.338238321690485,0.025629042653666
HT,random_9,0.39966081683471,0.027350831374649,0.393667740919737,0.026995373315286,0.381485078079516,0.028452484023056,0.380981370107521,0.029193164807423,0.375029413506403,0.027085941954393,0.353002765915812,0.029899603685909
HT,summery,0.393851362019164,0.009062172742998,0.394549397692202,0.007294933149846,0.386431582323446,0.013935402769034,0.384122862294622,0.019754416729737,0.375987932761151,0.022167022883318,0.35834827499203,0.023444755117766
FT,random_0,0.67685934812215,0.023939643853743,0.686696864717442,0.024634433948052,0.674403457638942,0.024030714388321,0.674457814259463,0.024220376334334,0.657316970441405,0.023829635180314,0.59502856932004,0.035592689720634
FT,random_1,0.69909297406753,0.02366353149096,0.664618237180358,0.021824714445561,0.672323783548957,0.025207461278939,0.664527636747314,0.027927946401872,0.664008799151329,0.028596489736742,0.640646246674473,0.03126489550052
