Phe,Random_ID,10KB-mean,10KB-std,50KB-mean,50KB-std,100KB-mean,100KB-std,500KB-mean,500KB-std,1000KB-mean,1000KB-std,2000KB-mean,2000KB-std
HT,random_0,0.45741759096786627,0.02110391843433456,0.45449921798047244,0.021401222452047505,0.4442138554893944,0.0217841386973521,0.421618642123293,0.022000270960432267,0.40350032334656627,0.022724079165783232,0.38839014381682035,0.018604886640192383
HT,random_1,0.46260528494488834,0.020454740098587908,0.46176693770732474,0.020627538385671478,0.4447712801336749,0.021643203778625563,0.432449451003323,0.020008288295164572,0.4177682868952335,0.022749754292743885,0.40973253644690233,0.0217449181140506
HT,random_2,0.4589745515575026,0.021250373622855614,0.4505390479815688,0.020607420752441142,0.4405362586966612,0.021262544785513118,0.44681927025380974,0.02187321487720757,0.4473269259477601,0.022619882851829365,0.4661650844169577,0.020203815515133058
HT,random_3,0.45197877709809414,0.02137521723074694,0.4513218370298333,0.02105565839146256,0.4405774319016486,0.02122795783937559,0.4198960576866249,0.02015566368092501,0.4099089106311867,0.020846392491001082,0.4029864281729227,0.018674011298332654
HT,random_4,0.44541441781811497,0.02195236950124258,0.4475196322247342,0.02109126962400311,0.4436999493781537,0.020989203716972472,0.45804417927283286,0.022250783966602777,0.4276175903100508,0.020812085550307828,0.3843160473634887,0.020369995900874103
HT,random_5,0.45832109112099195,0.02111898679748575,0.4526878025806354,0.02127605944209881,0.447047833404714,0.021206749207271065,0.41685394745276527,0.022083670769488577,0.3790018276764666,0.020093327605098334,0.3768360257326412,0.023969056151709005
HT,random_6,0.45748450685798486,0.021327975826927543,0.43529380155486735,0.02095722083286905,0.4364403050205303,0.021474556871928358,0.4171229031066312,0.020824930637234736,0.42686311177622593,0.021676641092497617,0.4172891725490309,0.024397454450166844
HT,random_7,0.4533331578798005,0.0218494161026891,0.4505748702071182,0.02113704951616733,0.4423454755175205,0.020814643926649418,0.4254365946021498,0.02127219415649656,0.41335647881764215,0.018003425256637985,0.4035412710892485,0.018598744576798432
HT,random_8,0.4630553325903942,0.020538305908620883,0.4568495738607034,0.02078619267327821,0.4501961215130531,0.020739097918334375,0.42429033608719824,0.02128378557305712,0.40896679618932746,0.023878049925871486,0.39500229180660773,0.019281203253473236
HT,random_9,0.44721180999882626,0.021752763549710365,0.46703288045527785,0.02107786129526593,0.4416823609966353,0.02073250690874454,0.43182900144687836,0.021810096457134477,0.39463213815745446,0.02055770630987296,0.3969703044936351,0.020772041851786913
HT,summery,0.4555796520834464,0.021272406707320123,0.45280856015825355,0.021001749336530512,0.4431510872051986,0.02118746036507666,0.4294360383035506,0.021356289937374366,0.41289423897479144,0.021396134454164377,0.40412293058882554,0.020661612775251723
FT,random_0,0.7586305626964509,0.023988898505451342,0.7480194451942672,0.02653699266121776,0.7389320743660607,0.02729250621950889,0.7206111687101509,0.023939100103039897,0.7022391120246652,0.028847605006358537,0.6400257770685063,0.03099771721657461
FT,random_1,0.7593449630358546,0.024824413676095693,0.7609217301904212,0.02360267407442724,0.7547007635816518,0.026465500168131605,0.7100146624553019,0.029452159655960722,0.7095297845679555,0.02775757564263658,0.6515171686255012,0.032760593004237316
FT,random_2,0.7562141853062533,0.02396773721247511,0.7567327409041996,0.026589738041944255,0.7602243591091968,0.02621283372129654,0.7044579083024204,0.027239340843254196,0.6872678364488531,0.026198691625985523,0.6168045122971385,0.03143631963749811
FT,random_3,0.753048741357369,0.026310577085248726,0.7430894981946935,0.025521099644962686,0.7461116439307478,0.027239436725684768,0.7251573448933185,0.026339388394935045,0.6993102256474831,0.030017605048121863,0.6185700556732919,0.030437768979903388
FT,random_4,0.7592135506685078,0.025313299897479935,0.7569514814455859,0.02457805815710619,0.7499352549712416,0.026090032011132736,0.7381548905958321,0.028139748396516798,0.7069451147263772,0.030752108903821608,0.6269634940384105,0.028839555685672542
FT,random_5,0.7545143250417369,0.024917905001522196,0.7592287202050851,0.02430508795563709,0.7519789830627047,0.025557348067117753,0.7231412518530671,0.025564817797729032,0.7048734957652805,0.027272711725222623,0.6506580094680352,0.029012277815200948
FT,random_6,0.7625141313363166,0.024228219284068583,0.7552035110376503,0.023263944168415356,0.7553219769261534,0.02617102117866881,0.7029431438335135,0.02505282755552689,0.6966824385197882,0.024240488773289662,0.6662070472793126,0.027614122217400842
FT,random_7,0.7583104441129002,0.02375704917564787,0.7568196591662856,0.02503618755365439,0.7566555068717109,0.024580016063176464,0.7302530435685648,0.02757550203093508,0.689417334170001,0.029870196620054402,0.6050109641076158,0.02988645082630519
FT,random_8,0.7624363367836399,0.024935180497675933,0.7538946151649153,0.02580598836003768,0.7503534699646655,0.02644591631986545,0.7136860559102091,0.0257099274769684,0.6638302938622443,0.032133379330170374,0.6684617666313012,0.02985706311641693
FT,random_9,0.7617510040683598,0.025104190984439688,0.7576688326132074,0.02425054038113502,0.7690164512610449,0.026157035307250397,0.7309078180754022,0.02439929269322138,0.7128889109730115,0.024335939815973796,0.639783950834435,0.02853503917376817
FT,summery,0.758597824440739,0.024734747132010508,0.7548530234116311,0.024949031099853768,0.7533230484045179,0.026221164578183347,0.7199327288197781,0.026341210494808746,0.697298454670566,0.028142630249163497,0.6384002746023548,0.029937690767297805
YLD,random_0,0.5365247827163023,0.015992195744608213,0.5356140284933328,0.016291292536396978,0.5338394713361847,0.016193511000352306,0.5201393156316868,0.017848120014623683,0.5104337923535492,0.018195470585700375,0.4917010328072619,0.018487165275150937
YLD,random_1,0.5377232621974187,0.01632804514867304,0.5384247867735956,0.016815806658007155,0.542832741331804,0.015813422205732175,0.5459628089091957,0.018185912329796217,0.507470328844602,0.018453742104520915,0.5116282548573975,0.019708038650450628
YLD,random_2,0.5399341110115954,0.01582959343356228,0.5370134367013986,0.016133497307250652,0.537263893756115,0.015784557407314,0.5099697925648647,0.01851967933890799,0.5113267655695459,0.018069776733248777,0.5166073094577927,0.017218147358527554
YLD,random_3,0.5377679504011411,0.016185571096124354,0.537996695477612,0.01600501207947894,0.539800160665926,0.016251486841383056,0.5204661944642638,0.0183702412831738,0.5236025576272328,0.01814741629875754,0.47730640979119154,0.01807696595414065
YLD,random_4,0.5314686370870653,0.0161971054744768,0.5440284397220695,0.015954279910790903,0.5378386888323226,0.016788758025254095,0.522884905660401,0.01800749621499562,0.5118242526578153,0.017996286837426552,0.4648807145977783,0.019172206268998234
