Phe,fnumber,cvid,pearson_random0,pearson_randomRandom_1,pearson_random2,pearson_randomRandom_3,pearson_random4,pearson_randomRandom_5,pearson_random6,pearson_randomRandom_7,pearson_random8,pearson_randomRandom_9,pearson_mean
DTT,12,cv1,0.28163585272679303,0.28668973264401504,0.255154265206958,0.244270309979649,0.336663182335663,0.259072221776656,0.352557953216948,0.210629252682241,0.41865408310819396,0.25876380064488697,0.2904090654322004
DTT,12,cv0,0.31637215327127194,0.293698294274789,0.301638354333484,0.189729227445817,0.253499872751978,0.193318485560938,0.256650398002048,0.294441395661249,0.36063234480952,0.233936783452651,0.2693917309563746
DTT,12,cv2,0.292089154030791,0.23894480298300103,0.245196586674676,0.267457057982536,0.274045295768935,0.17997117911901803,0.279404432379221,0.31315806809881797,0.36289801443163894,0.265797556462795,0.271896214793143
DTT,12,cv3,0.318794123007596,0.33724370608615994,0.349451935434347,0.269340973842789,0.38609481668940404,0.344374403959856,0.28370936746429903,0.254237087964417,0.343912674351615,0.31612941530084604,0.3203288504101329
DTT,12,cv4,0.270474535700356,0.22148098216668397,0.211830465746499,0.177663476654353,0.324892082354891,0.211409162058088,0.268240679320708,0.218714023767251,0.32705223603103495,0.26597589666063,0.24977335404604947
DTT,12,cv5,0.31936293275907,0.25487628092410797,0.278149619651947,0.23313045598136398,0.374775024217591,0.23144911171891197,0.298199793171781,0.289952740637474,0.241154352338393,0.18594644442075603,0.27069967558213964
DTT,12,cv6,0.20052797710506898,0.235732297006663,0.201848061240275,0.18039464925181697,0.33885082270154604,0.17672641169344394,0.186109888855546,0.217631210505684,0.24302861323369498,0.235252172526072,0.2216102104119811
DTT,12,cv7,0.276383018364742,0.35128008292758695,0.334052822639758,0.244114845453928,0.404573752920807,0.30439205148556003,0.28730297224837,0.276209129269615,0.338441536811094,0.3393420642423,0.3156092276363761
DTT,12,cv8,0.40547678716831104,0.24564220097842604,0.25698715591760896,0.261388892808522,0.427655388822753,0.280595084500334,0.300168885823818,0.261035072336613,0.300574173548769,0.284960100947377,0.3024483742852532
DTT,12,cv9,0.204799603349042,0.126241394332817,0.25763693077002303,0.181508340355196,0.26375618389785604,0.259175763316483,0.23445728999629104,0.090259211356436,0.270904702385306,0.217680943681302,0.21064203634407522
DTT,12,cv10,0.330199845228114,0.35391535292245796,0.279780321465891,0.271986289480298,0.401835034507735,0.197788930972316,0.24770387588861,0.30779772469661704,0.364462862862916,0.27502866845032103,0.30304989064752763
DTT,12,cv11,0.256092691423905,0.327007517184068,0.36556354909728794,0.215559124858979,0.287247068851891,0.208741739864708,0.180868638156921,0.159628926637036,0.358647691674113,0.273994980925766,0.26333519286746754
DTT,12,cv12,0.296286590601551,0.213146329469295,0.293081413094658,0.276114441623586,0.35684557836830394,0.31367066307522495,0.367114177203665,0.30247011037167604,0.33919588412609897,0.330592782170328,0.3088517970104387
DTT,12,cv13,0.26397136482982003,0.31625037174588,0.295652226808332,0.256822751811429,0.290647509288354,0.23880794554988702,0.218473080809599,0.28602817539566605,0.26675036348119197,0.29980987892678196,0.27332136686469405
DTT,12,cv14,0.29572523063973305,0.260492036925417,0.382596651831706,0.28186855694793395,0.36846459968806794,0.299140340039137,0.234917914564284,0.281214434842558,0.34620064060152395,0.26196586378492104,0.30125862698652817
DTT,12,cv15,0.24903910736978305,0.20846414509170896,0.20356574501924998,0.22472862749337397,0.309720246746797,0.252249835094276,0.154594594366832,0.21723117141325798,0.355854385054621,0.34298639557380395,0.2518434253223704
DTT,12,cv16,0.288140925361351,0.20200308548203502,0.36560169760493205,0.306024669636817,0.420729941207109,0.297376481444456,0.285616315213314,0.313373849840914,0.35705609239028296,0.27101575570611397,0.3106938813887325
DTT,12,cv17,0.240257313552869,0.18533255671546,0.387432784061303,0.17299380685080598,0.344066703379445,0.284397229331792,0.15919947271020599,0.17953688545254604,0.33228902717285996,0.20435821916494898,0.24898639983922358
DTT,12,cv18,0.245512757720493,0.159356650676568,0.34596069654891304,0.216120125928168,0.36246095535771994,0.325141606553591,0.267134937756741,0.24773695962304504,0.32735190320981106,0.27094483013281,0.276772142350786
DTT,12,cv19,0.204104147868769,0.173539395720397,0.215742280598452,0.137720988371077,0.298060839233992,0.253169752496147,0.18420343999077105,0.213149724797802,0.364209359595242,0.30802076355406394,0.23519206922267127
DTT,12,cv20,0.248569360258441,0.28244826071200607,0.248339322311862,0.23550839864888198,0.393415849823536,0.199153467833424,0.17192444960144698,0.236848407246886,0.32204447480039,0.29063073584309496,0.262888272707997
DTT,12,cv21,0.30741379695962606,0.267965876171307,0.289296171673425,0.309893882535942,0.260542601687243,0.316899626921924,0.344330461393823,0.20619398925912802,0.30178113870019896,0.252391297229484,0.2856708842532101
DTT,12,cv22,0.23020147851930997,0.280907315575077,0.288827884206983,0.257198301194845,0.36396240307618,0.31589514295411897,0.32701725084715305,0.175518123356638,0.3739623734083629,0.299387364267813,0.2912877637406481
DTT,12,cv23,0.281433764380375,0.31330186429796597,0.330069159492786,0.276671386162802,0.363009755535899,0.29600967117271504,0.18226672816818398,0.25186306756326,0.29494542079575503,0.23299904673096203,0.2822569864300704
DTT,12,cv24,0.24777190064881,0.273515778719568,0.21425207455830897,0.21305122917122302,0.258182624493128,0.18329352950398,0.27784398771500896,0.170059092685121,0.237506438906257,0.318423618467782,0.23939002748691868
DTT,12,cv25,0.18265715064348897,0.197879631357205,0.37351722424742206,0.130732166409623,0.3880401691330089,0.293300333470172,0.275809425581489,0.14919075784680402,0.32052878893409004,0.27241441915465997,0.25840700667779626
DTT,12,cv26,0.25555379592649197,0.32287695924632004,0.30666038821213304,0.291751298736214,0.347329547243736,0.307235800910291,0.261246261183064,0.221788809158591,0.38260173222443894,0.258222393173851,0.29552669860151315
DTT,12,cv27,0.17604881754403603,0.284381753822208,0.264605540832731,0.233540833442996,0.31790800914609396,0.19987972379354502,0.254126414085539,0.23634034529786102,0.280719429248492,0.22121601777271901,0.24687668849862213
