CVid,CV1,CV2,CV3,CV4,CV5,CV6,CV7,CV8,CV9,CV10,CV11,CV12,CV13,CV14,CV15,CV16,CV17,CV18,CV19,CV20,CV21,CV22,CV23,CV24,CV25,CV26,CV27,CV28,CV29,CV30
DTT,0.633623244839418,0.632021693702273,0.612835110728026,0.644997138046809,0.622049583642155,0.589159099037874,0.593303446488555,0.672140514314899,0.655571765591598,0.595634907972327,0.632356214413095,0.607285597974381,0.66190766955281,0.63797027684045,0.728202010200853,0.600624043024204,0.672422343375593,0.627312816037988,0.652906135230343,0.612843529805223,0.676813814035134,0.607478473157255,0.677789974640882,0.645794418848812,0.581862712805625,0.652983119407626,0.620941567715292,0.634805360167985,0.647671840886102,0.649746769414226
PH,0.676750453022794,0.667811380651901,0.650701910613114,0.698805149279264,0.667883198548188,0.709240884344449,0.696029988273452,0.657133203330128,0.689310309219695,0.702029910974793,0.683778695834742,0.654085233367681,0.675502425482295,0.6448802395726,0.672015439623365,0.700848073651984,0.6862491042672,0.638519977794096,0.663259884518991,0.663863090852922,0.666584897222539,0.715366581973883,0.676506511452712,0.651393790658089,0.658773996338632,0.651282696920459,0.718241503044628,0.729411870453284,0.684272195056957,0.674482583520257
EW,0.522935683735162,0.509077268677669,0.476550512135926,0.570460688296668,0.508592563427159,0.421766227297995,0.489353657131619,0.499878555475779,0.52651963641243,0.492875526461879,0.487327041455092,0.494815957101683,0.395731602755695,0.43068435506567,0.399558594852444,0.449617380336125,0.510979742516179,0.47824225823686,0.494917031141724,0.45398140020413,0.458123134188863,0.499016393532264,0.515569312856993,0.431363392430932,0.502516883731372,0.531026157401508,0.490041191677033,0.508306939044952,0.387526765861476,0.474173552910506
