seqname,DTT,PH,EW,cv0,cv1,cv2,cv3,cv4,cv5,cv6,cv7,cv8,cv9,cv10,cv11,cv12,cv13,cv14,cv15,cv16,cv17,cv18,cv19,cv20,cv21,cv22,cv23,cv24,cv25,cv26,cv27,cv28,cv29
MG_1018,68.1056868237738,218.304909488066,97.0572423493333,4,1,1,4,1,1,1,4,1,1,1,1,1,4,4,1,1,1,1,4,1,1,4,4,1,1,4,1,4,1
MG_1019,74.2135217899053,198.684324037733,82.7858515812142,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,4,1,1,4,1,1,4,1,1,1,1,1
MG_102,65.8370624077821,200.57357721637,100.849116593326,1,1,1,4,1,1,4,1,1,1,1,4,1,4,4,1,4,1,4,1,1,4,1,1,1,1,1,1,1,4
MG_1020,71.4213686625309,240.340052659389,58.3463119830718,1,1,1,4,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,4,1,4,1,1,1,1,1,4,4,1
MG_1021,71.3548494559717,204.537511804822,104.288417019166,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1
MG_1022,67.2331389714693,229.566701606576,77.1764053700739,4,4,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,4,4,1,1,4,4,1,1,1,4,1,1,1
MG_1023,69.501763387461,228.460797306886,83.141346653231,1,4,4,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,4,1,1,4,1,4,4
MG_1024,65.1390241259385,202.942055591539,100.147664439008,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1
MG_1025,67.2331389714693,222.48891408856,77.0620946491492,1,1,4,4,1,1,1,1,4,4,4,4,1,1,1,4,1,1,1,4,1,1,1,1,4,1,1,1,1,1
MG_1026,63.3939284213295,196.841150204916,87.6440336656639,1,1,1,1,1,1,4,1,4,1,4,4,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1
MG_1027,64.9645145554776,207.181355407017,74.9733260118493,1,1,4,1,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,1,1
MG_1028,66.8841198305475,223.677761210727,113.615545801897,1,1,1,4,4,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1
MG_1029,71.7703878034527,204.250709012839,99.4851818488201,1,1,4,1,1,1,4,1,1,1,1,1,1,4,1,1,4,1,4,1,1,1,1,1,1,4,1,1,4,1
MG_103,67.756667682852,215.24524092559,92.9460889880193,1,1,1,1,1,1,1,1,1,1,1,1,4,1,4,1,1,1,4,4,1,1,1,1,1,4,1,1,1,1
MG_1030,66.7096102600866,219.023747282865,71.7154704506875,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MG_1031,69.8507825283828,203.587166433025,113.948086081943,4,4,1,1,1,1,1,4,4,1,4,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,4
MG_1032,66.3605911191648,230.0735744106,113.241437986262,1,4,1,1,4,4,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,4
MG_1033,64.4409858440949,190.224156145104,88.6230653458682,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1,1,1,1,1,1
MG_1034,67.0586294010084,215.595443953825,119.845480125806,1,1,1,1,1,1,1,1,4,1,1,4,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,4,1,1
MG_1035,67.9311772533129,225.548582651035,94.2762501097603,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1
MG_1036,69.8797967055477,207.918423002964,87.4072149403755,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1,1,4,1,1,1,1,1,1,4,1,4
MG_1037,72.8174452262181,232.340678224965,78.5429380860409,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,1,1,1,4,1,1
MG_1038,67.0586294010084,219.502972479397,84.1402664798778,1,4,4,1,1,4,1,1,1,1,4,1,1,1,1,1,4,4,4,1,4,1,1,1,1,1,1,1,4,1
MG_1039,74.5625409308271,217.332635291255,75.8488422197943,1,1,1,1,4,4,1,1,4,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,4,1,1,4
MG_104,68.2801963942347,215.908783505404,89.0803082264493,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MG_1040,63.9174571327122,207.835682117667,106.330835285963,1,1,1,1,4,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,4,1
MG_1041,67.9311772533129,232.432836916606,135.9788796751,1,1,1,1,1,1,1,1,1,1,4,1,4,4,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1
MG_1042,65.3135336963994,229.972199849795,77.0932703004522,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,4,1,1,4
MG_1043,65.8370624077821,240.533585911835,66.7481500092259,1,4,1,1,1,1,1,1,1,1,1,4,1,4,4,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1
MG_1044,69.8507825283828,214.397380962495,85.3249412293912,1,1,4,1,1,4,1,1,1,4,1,1,1,1,1,1,4,1,1,4,1,1,1,4,1,1,4,1,1,1
MG_1045,72.8174452262181,207.490087024014,81.7691315530984,1,1,1,4,1,1,1,1,1,1,1,1,4,1,4,1,1,1,1,1,4,1,1,1,4,1,4,1,1,1
MG_1046,64.0919667031731,228.691194035988,112.413984246457,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,4,4,4,1,4,1,4
MG_1047,71.0723495216091,236.165263928059,76.7451421947551,1,1,1,1,4,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,1
MG_1048,68.8037251056174,221.294537444895,75.503312084,1,4,1,1,1,4,4,1,4,1,1,1,1,1,1,4,1,4,1,1,1,1,1,1,1,1,1,1,1,1
MG_1049,69.6762729579219,215.549364608005,108.588472029291,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,4,1,1,1,1,1,1,4,1,1,1,1
MG_105,71.7703878034527,204.400006093297,91.002806722947,4,1,1,4,1,4,1,1,4,1,1,1,4,1,1,1,1,1,1,1,4,4,4,1,4,1,4,4,1,1
MG_1050,69.3272538170001,242.929711894497,107.970154939919,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,4,1
MG_1051,70.8978399511482,223.968061089395,78.7884463400519,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MG_1052,68.1056868237738,199.366298355875,92.6109507365122,1,1,1,1,1,1,4,1,1,1,1,4,1,4,4,4,1,1,1,4,1,1,1,4,4,1,4,1,1,4
